DESCRIPTION,SNOMED CT CODE
Rheumatoid arthritis of tibio-fibular joint,201778008
Rheumatoid nodule,33719002
Diffuse interstitial rheumatoid disease of lung,10713006
Rheumatoid arthritis monitoring invitation second letter,8.82421E+14
"Seropositive rheumatoid arthritis, unspecified",239791005
Rheumatoid arthritis of sacro-iliac joint,201776007
Caplan's syndrome,398640008
[X]Rheumatoid arthritis+involvement/other organs or systems,239793008
Except rheumatoid arthritis qual indicator: informed dissent,8.05981E+14
RAID (Rheumatoid Arthritis Impact of Disease) questionnaire score,1.04831E+15
RA - Rheumatoid arthritis,69896004
History of rheumatoid arthritis,161567008
Rheumatoid vasculitis,400054000
Seronegative rheumatoid arthritis,239792003
Myopathy due to rheumatoid arthritis,193250002
Rheumatoid arthritis,69896004
Rheumatoid arthritis of foot,429192004
Disease activity score in rheumatoid arthritis,763259004
Rheumatoid bursitis,84017003
Chronic rheumatoid nodular fibrosis,33719002
Felty syndrome,57160007
Caplan's syndrome,398640008
Myopathy due to Sjogren's disease,193253000
Keratoconjunctivitis sicca,302896008
KCS - Keratoconjunctivitis sicca,302896008
Myopathy due to Sjögren's disease,193253000
Sjogrens syndrome,83901003
Lung disease with Sjögren disease,196137000
Sjögren's syndrome,83901003
Sjögren's disease,83901003
Sjogren's syndrome,83901003
Sicca (Sjogren's) syndrome,83901003
Myopathy due to Sjogrens disease,193253000
Sjögren syndrome,83901003
Lung disease with Sjogren's disease,196137000
Lung disease with Sjögren's disease,196137000
Myopathy due to Sjögren disease,193253000
Lupus erythematosus profundus,15084002
Disseminated lupus erythematosus,55464009
Lupus nephritis,68815009
Systemic lupus erythematosus encephalitis,95644001
Polyneuropathy in disseminated lupus erythematosus,193178008
Myopathy due to disseminated lupus erythematosus,193248005
Lupus erythematosus chronicus,200937007
Lupus erythematosus migrans,200939005
Drug-induced systemic lupus erythematosus,201436003
Cerebral lupus,95644001
Systemic lupus erythematosus encephalitis,1.72815E+15
[X]Other local lupus erythematosus,7119001
Systemic lupus erythematosus NOS,55464009
[X]Other forms of systemic lupus erythematosus,55464009
Systemic lupus erythematosus with organ or sys involv,239887007
Lupus erythematosus NOS,200936003
Synovial fluid: lupus erythematosus cells,167901007
SCLE - Subacute cutaneous lupus erythematosus,239891002
Systemic lupus erythematosus glomerulonephritis syndrome,68815009
Cerebral systemic lupus erythematosus,95644001
Lupus erythematosus (LE) cells present,165927006
Subacute cutaneous lupus erythematosus,239891002
Lupus erythematosus nodularis,200940007
Lupus erythematosus tumidus,200941006
Nephrotic syndrome in systemic lupus erythematosus,68815009
SLE - Systemic lupus erythematosus,55464009
Libman-Sacks disease,54072008
Systemic lupus erythematosus with pericarditis,309762007
Lupus erythematosus,200936003
SACLE - Subacute cutaneous lupus erythematosus,239891002
LE - Lupus erythematosus,200936003
Libman-Sacks endocarditis,54072008
Lupus erythematosus unguium mutilans,200942004
Lung disease with systemic lupus erythematosus,196138005
Systemic lupus erythematosus,55464009
Lupus erythematosus cells present,165927006
Type 1 diabetes mellitus with ulcer,190368000
Type I diabetes mellitus maturity onset,190372001
Type 1 diabetes mellitus maturity onset,190372001
Unstable type I diabetes mellitus,290002008
Unstable type 1 diabetes mellitus,290002008
Type 1 diabetes mellitus without complication,313435000
Type I diabetes mellitus with hypoglycaemic coma,314771006
Type 1 diabetes mellitus with arthropathy,314893005
Type I diabetes mellitus with arthropathy,314893005
Type I diabetes mellitus,46635009
Type 1 diabetes mellitus with persistent microalbuminuria,401110002
Type I diabetes mellitus in remission,703137001
Type 1 diabetes mellitus - poor control,444073006
Type I diabetes mellitus - poor control,444073006
Type I diabetes mellitus with neuropathic arthropathy,7.1771E+13
Type 1 diabetes mellitus,46635009
Type 1 diabetes mellitus - poor control,444073006
Type 1 diabetes mellitus maturity onset,190372001
Type 1 diabetes mellitus with arthropathy,314893005
Type 1 diabetes mellitus with hypoglycaemic coma,314771006
Type 1 diabetes mellitus with nephropathy,421893009
Type 1 diabetes mellitus with neuropathic arthropathy,7.1771E+13
Type 1 diabetes mellitus with polyneuropathy,713705003
Type 1 diabetes mellitus with ulcer,190368000
Type I diabetes mellitus with hypoglycaemic coma,314771006
Type I diabetes mellitus with multiple complications,422228004
Type I diabetes mellitus with renal complications,421893009
Type I diabetes mellitus with ulcer,190368000
Type I diabetes mellitus without complication,313435000
Type I diabetes mellitus with multiple complications,422228004
Type 1 diabetes mellitus with polyneuropathy,713705003
Type 1 diabetes mellitus with nephropathy,421893009
Type I diabetes mellitus with nephropathy,421893009
Type 1 diabetes mellitus with persistent proteinuria,420514000
Type I diabetes mellitus with persistent proteinuria,420514000
Type I diabetes mellitus with persistent microalbuminuria,401110002
Type I diabetes mellitus with ketoacidosis,420270002
Type I diabetes mellitus with ketoacidotic coma,421075007
Type I diabetes mellitus with exudative maculopathy,420486006
Insulin dependent diabetes mellitus with hypoglycaemic coma,237632004
Insulin dependent diabetes mellitus with arthropathy,39710007
Unstable insulin dependent diabetes mellitus,11530004
Type I diabetes mellitus with peripheral angiopathy,3.1211E+13
Insulin dependent diabetes mellitus with arthropathy,39710007
Insulin dependent diabetes mellitus with diabetic cataract,43959009
Insulin dependent diabetes mellitus with hypoglycaemic coma,237632004
Insulin dependent diabetes mellitus with mononeuropathy,230577008
Insulin dependent diabetes mellitus with multiple complicatn,3.85041E+14
Insulin dependent diabetes mellitus with polyneuropathy,49455004
Insulin dependent diabetes mellitus with retinopathy,4855003
Insulin dependent diab mell with neuropathic arthropathy,201724008
Insulin dependent diab mell with peripheral angiopathy,421895002
Insulin dependent diabetes maturity onset,73211009
Insulin dependent diabetes mellitus,73211009
IDDM-Insulin dependent diabetes mellitus,73211009
Insulin dependent diabetes mellitus with multiple complicat,3.85041E+14
Insulin dependent diabetes mellitus with retinopathy,4855003
Insulin dependent diabetes mellitus with mononeuropathy,230577008
Insulin dependent diabetes mellitus with polyneuropathy,49455004
Insulin dependent diabetes mellitus with nephropathy,127013003
Insulin dependent diab mell with peripheral angiopathy,421895002
Type 1 diabetes mellitus with peripheral angiopathy,3.1211E+13
Insulin dependent diab mell with neuropathic arthropathy,201724008
Insulin dependent diabetes mellitus with ulcer,422183001
Diabetic retinopathy associated with type I diabetes mellitus,420789003
Type 1 diabetes mellitus uncontrolled,444073006
Retinopathy co-occurrent and due to type 1 diabetes mellitus,420789003
Peripheral circulatory disorder associated with type I diabetes mellitus,421365002
Gastroparesis co-occurrent and due to type 1 diabetes mellitus,713702000
Polyneuropathy due to type 1 diabetes mellitus,713705003
Neuropathic arthropathy due to type 1 diabetes mellitus,7.1771E+13
Disorder of eye co-occurrent and due to type 1 diabetes mellitus,739681000
Insulin dependent diabetes mellitus with arthropathy,314893005
Insulin dependent diabetes mellitus with ulcer,19429009
Gangrene associated with type I diabetes mellitus,420825003
Peripheral vascular disease due to type I diabetes,3.1211E+13
Gangrene associated with type 1 diabetes mellitus,420825003
Peripheral circulatory disorder associated with type 1 diabetes mellitus,421365002
Diabetic oculopathy due to type 1 diabetes mellitus,739681000
Exudative maculopathy co-occurrent and due to type 1 diabetes mellitus,420486006
Persistent proteinuria associated with type I diabetes mellitus,420514000
Brittle type 1 diabetes mellitus,290002008
Polyneuropathy co-occurrent and due to type 1 diabetes mellitus,713705003
Type 1 diabetes mellitus with hyperosmolar coma,190330002
Type 1 diabetes mellitus with hypoglycemic coma,314771006
Neurological disorder co-occurrent and due to type 1 diabetes mellitus,421468001
Ketoacidotic coma in type I diabetes mellitus,421075007
Renal disorder associated with type I diabetes mellitus,421893009
Type I diabetes mellitus with hypoglycemic coma,314771006
Kidney disorder associated with type 1 diabetes mellitus,421893009
Type I diabetes mellitus uncontrolled,444073006
Diabetic neuropathic arthropathy due to type 1 diabetes mellitus,7.1771E+13
Labile type I diabetes mellitus,290002008
Diabetic oculopathy due to type I diabetes mellitus,739681000
Gastroparesis due to type 1 diabetes mellitus,713702000
Neurological disorder associated with type 1 diabetes mellitus,421468001
Exudative maculopathy associated with type 1 diabetes mellitus,420486006
Diabetic cataract associated with type 1 diabetes mellitus,421920002
Type 1 diabetes mellitus with multiple complications,422228004
Type 1 diabetes mellitus with renal complications,421893009
Type 1 diabetes mellitus with retinopathy,420789003
Type I diabetes mellitus with diabetic cataract,421920002
Type I diabetes mellitus with mononeuropathy,420918009
Type I diabetes mellitus with neurological complications,421468001
Type 1 diabetes mellitus with multiple complications,422228004
Type 1 diabetes mellitus with retinopathy,420789003
Type I diabetes mellitus with retinopathy,420789003
Type 1 diabetes mellitus with exudative maculopathy,420486006
Type I diabetes mellitus with gastroparesis,713702000
Type I diabetes mellitus with ophthalmic complications,739681000
Type 1 diabetes mellitus with gangrene,420825003
Type 1 diabetes mellitus with gangrene,420825003
Type 1 diabetes mellitus with diabetic cataract,421920002
Type 1 diabetes mellitus with ophthalmic complications,739681000
Exudative maculopathy with type 1 diabetes mellitus,420486006
Disorder of eye with type 1 diabetes mellitus,739681000
Gastroparesis with type 1 diabetes mellitus,713702000
Mononeuropathy with type 1 diabetes mellitus,420918009
Type 1 diabetes mellitus with mononeuropathy,420918009
Type 1 diabetes mellitus with neurological complications,421468001
Type I diabetes mellitus with gangrene,420825003
Type 1 diabetes mellitus with neurological complications,421468001
Neurological disorder with type 1 diabetes mellitus,421468001
Type I diabetes mellitus with retinopathy,420789003
Type 1 diabetes mellitus with gastroparesis,713702000
Type 1 diabetes mellitus with renal complications,421893009
Type 1 diabetic dietary review,7.54101E+14
Type 1 diabetes mellitus with hypoglycaemic coma,314771006
Type 1 diabetes mellitus with neuropathic arthropathy,7.1771E+13
Unstable type I diabetes mellitus,290002008
Type I diabetes mellitus,46635009
Type I diabetes mellitus maturity onset,190372001
Type I diabetes mellitus with neuropathic arthropathy,7.1771E+13
Type I diabetes mellitus with polyneuropathy,713705003
Type 1 diabetes mellitus with ketoacidotic coma,421075007
Insulin dependent diabetes mellitus,73211009
Unstable insulin dependent diabetes mellitus,11530004
Insulin dependent diabetes mellitus with gangrene,422275004
Insulin dependent diabetes mellitus with nephropathy,127013003
Insulin dependent diabetes mellitus with gangrene,422275004
Multiple complications of type I diabetes mellitus,422228004
Insulin dependent diabetes mellitus with hypoglycaemic coma,314771006
Brittle type I diabetes mellitus,290002008
Mononeuropathy associated with type I diabetes mellitus,420918009
Insulin dependent diabetes mellitus with hypoglycemic coma,314771006
Diabetic retinopathy associated with type 1 diabetes mellitus,420789003
Type 1 diabetes mellitus in remission,703137001
Type I diabetes mellitus without complication,313435000
Type I diabetes mellitus with neurological complications,421468001
Type I diabetes mellitus with mononeuropathy,420918009
Type I diabetes mellitus with ophthalmic complications,739681000
Type 1 diabetes mellitus with diabetic cataract,421920002
Type 1 diabetes mellitus with mononeuropathy,420918009
Type 1 diabetes mellitus with ophthalmic complications,739681000
Retinopathy with type 1 diabetes mellitus,420789003
Unstable type 1 diabetes mellitus,290002008
Type I diabetes mellitus - poor control,444073006
Type I diabetes mellitus with arthropathy,314893005
Type I diabetes mellitus with renal complications,421893009
Type 1 diabetes mellitus with ketoacidosis,420270002
Pre-existing type 1 diabetes mellitus in pregnancy,199223000
Type 1 diabetes mellitus with peripheral angiopathy,3.1211E+13
Insulin dependent diabetes mellitus - poor control,268519009
Insulin dependent diabetes mellitus - poor control,268519009
Type I diabetes mellitus with peripheral angiopathy,3.1211E+13
Neurological disorder associated with type I diabetes mellitus,421468001
Diabetic cataract associated with type I diabetes mellitus,421920002
Exudative maculopathy associated with type I diabetes mellitus,420486006
Type I diabetes mellitus with ulcer,190368000
Type 1 diabetes mellitus,46635009
Type 1 diabetes mellitus without complication,313435000
Type I diabetes mellitus with nephropathy,421893009
Type I diabetes mellitus with polyneuropathy,713705003
Insulin dependent diabetes mellitus,73211009
Insulin dependent diabetes maturity onset,73211009
Insulin dependent diabetes mellitus with diabetic cataract,43959009
Insulin dependent diabetes mellitus with ulcer,422183001
Ketoacidosis in type I diabetes mellitus,420270002
Disorder associated with type I diabetes mellitus,420868002
Type I diabetes mellitus with diabetic cataract,421920002
Type I diabetes mellitus with gangrene,420825003
Mononeuropathy co-occurrent and due to type 1 diabetes mellitus,420918009
Mononeuropathy associated with type 1 diabetes mellitus,420918009
Vitiligo of eyelid,87666009
Vitiligo,56727007
Congenital coeliac disease,197478000
Acquired coeliac disease,197479008
Coeliac disease,396331005
Coeliac disease monitoring invitation,7.50871E+14
Coeliac disease monitoring telephone invitation,7.50891E+14
Coeliac disease annual review declined,7.50911E+14
Coeliac disease monitoring invitation second letter,7.52321E+14
Coeliac disease monitoring,703970007
Coeliac disease annual review,473213008
Coeliac disease monitoring phone invite,1.74588E+15
Coeliac disease monitoring,1.7477E+15
Coeliac disease NOS,396331005
Acquired celiac disease,197479008
Celiac disease autoantibody profile positive,443718009
Celiac disease monitoring,703970007
Coeliac infantilism,45259000
Celiac syndrome,396331005
Infantile form of celiac disease,45259000
Childhood coeliac disease,45259000
Congenital celiac disease,197478000
Infant celiac disease,45259000
Celiac rickets,275404008
Infantile form of coeliac disease,45259000
Celiac disease annual review,473213008
Childhood celiac disease,45259000
CD - Celiac disease,396331005
CS - Coeliac sprue,396331005
CS - Celiac sprue,396331005
Coeliac sprue,396331005
Celiac disease,396331005
Coeliac disease monitoring administration,1.74584E+15
Coeliac disease monitoring 2nd letter,1.74586E+15
Coeliac disease monitoring invitation third letter,7.52341E+14
CCD - Childhood celiac disease,45259000
Coeliac disease monitoring 3rd letter,1.74587E+15
Coeliac disease annual review,1.74771E+15
Coeliac disease monitoring invitation first letter,7.52301E+14
Coeliac syndrome,396331005
Celiac infantilism,45259000
CD - Coeliac disease,396331005
Coeliac disease autoantibody profile positive,443718009
Autoantibody screening for coeliac disease positive,443718009
Coeliac rickets,275404008
Celiac sprue,396331005
Autoantibody screening for celiac disease positive,443718009
CCD - Childhood coeliac disease,45259000
Infant coeliac disease,45259000
Inflammatory bowel disease,24526004
Crohn's disease,34000006
Ulcerative colitis,64766004
FH: Crohn's disease,160386006
Orofacial Crohn's disease,196578009
Regional enteritis of the jejunum,196976000
Ulcerative ileocolitis,196987008
Arthropathy in Crohn's disease,201728006
FH: Ulcerative colitis,275129008
H/O: ulcerative colitis,275549008
Regional enteritis of the rectum,3815005
Regional enteritis of the duodenum,56287005
Regional enteritis of the large bowel,7620006
Exacerbation of Crohn's disease of large intestine,414153008
Exacerbation of ulcerative colitis,414156000
Ulcerative pancolitis,444548001
Regional enteritis - Crohn,34000006
[RFC] Crohns disease,9.06051E+14
[RFC] Ulcerative colitis,9.06191E+14
Adverse reaction to Modulen IBD,1.0265E+15
Granulomatous enteritis,34000006
Crohn's disease of the small bowel NOS,56689002
Regional enteritis NOS,34000006
Other idiopathic proctocolitis,418130002
Other idiopathic proctocolitis NOS,418130002
Idiopathic proctocolitis NOS,64766004
[X]Other Crohn's disease,34000006
Crohn's disease NOS,34000006
Idiopathic proctocolitis,64766004
Ulcerative (chronic) ileocolitis,196987008
Regional enteritis - Crohn's disease,34000006
Regional enteritis of the colon,50440006
Crohn's colitis,50440006
Crohn's disease of the terminal ileum,196977009
Management of IBD (inflammatory bowel disease),700104004
Ulcerative proctocolitis NOS,295046003
CD - Crohn's disease,34000006
Crohn disease of large bowel,7620006
Granulomatous enteritis,34000006
Crohn disease of small intestine,56689002
Colitis gravis,64766004
Crohn disease of duodenum,56287005
"Crohns disease, small intestine",56689002
UC - Ulcerative colitis,64766004
Crohn disease of terminal ileum,196977009
Ulcerative colitis confined to rectum,52231000
UC - Ulcerative colitis confined to rectum,52231000
"Crohns disease, large intestine",7620006
Regional enteritis of rectum,3815005
Crohn's proctitis,3815005
Crohn disease of ileum,38106008
Exacerbation of Crohn disease of large intestine,414153008
Crohn's disease of duodenum,56287005
IBD - Inflammatory bowel disease,24526004
History of ulcerative colitis,275549008
RE - regional enteritis,34000006
Crohn's ileitis,38106008
Crohn's disease of rectum,3815005
Modulen IBD,6.55231E+14
Arthropathy in ulcerative colitis,201727001
Juvenile arthritis in Crohn's disease,201805000
Crohn's disease of the ileum unspecified,38106008
Regional enteritis of the small bowel,56689002
Crohns disease,34000006
Crohn's disease of oral soft tissues,196578009
Regional enteritis of small intestine,56689002
Exacerbation of Crohn disease of small intestine,414154002
Management of inflammatory bowel disease,700104004
Dietary education for inflammatory bowel disease,9.09671E+14
Signposting to Crohn's and Colitis UK,1.05734E+15
Crohn's disease of the large bowel NOS,7620006
Ulcerative colitis and/or proctitis,295046003
Regional enteritis,34000006
Crohn's duodenitis,56287005
Arthropathy in Crohn disease,201728006
Juvenile arthritis in Crohn disease,201805000
Crohn disease of rectum,3815005
Crohn's disease of the ileum NOS,38106008
[X]Other ulcerative colitis,64766004
Oral Crohn's disease,196578009
Exacerbation of Crohn's disease of small intestine,414154002
Ulcerative proctocolitis,295046003
Juvenile arthritis in ulcerative colitis,201807008
Ulcerative (chronic) enterocolitis,235714007
Crohn disease,34000006
Family history of ulcerative colitis,275129008
Mild chronic ulcerative colitis,78324009
Crohn's disease activity index,273364009
Acute ulcerative colitis,128600008
Severe chronic ulcerative colitis,14311001
History of inflammatory bowel disease,608844008
Perianal Crohn's disease,235796008
History of Crohns disease,1.12561E+14
Graves' disease,353295004
Toxic diffuse goitre NOS,267374005
Graves' ophthalmopathy,276177000
Toxic diffuse thyroid goitre,267374005
Graves' dermopathy,237825005
Graves' eye disease,276177000
Diffuse toxic goitre,267374005
Thyrotoxicosis with diffuse goiter,267374005
Autoimmune myxoedema,237519003
Pretibial myxoedema - hypothyroid,40930008
Hypothyroidism with positive thyroid antibodies,237519003
"Diabetes mellitus, Addison's disease and myxoedema",83728000
Autoimmune hypothyroidism,237519003
